,Flight (Callsign),Flight ID,ICAO Code,A/C Type,ICAO 24,ICAO Aircraft Type,Propulsion Type,Number of Engines,MALW [kg],ICAO Weight Turbulence Category,Speed at TH [kt],Geoaltitude at TH [ft],Specific Energy [J/kg],Energy at MALW [MJ],Time at TH,Time of Go-around,Hour sin,Hour cos,Minute sin,Minute cos,Day of week sin,Day of week cos,Month sin,Month cos,Day/Night,Time from Previous Landing [s],Temperature [°C],Wind speed [kt],Wind direction [°],Wind direction sin,Wind direction cos,No Wind,Wind Variable,Headwind [kt],Crosswind [kt],Visibility Category,Precipitation [mm],Meteo idx,Precipitation idx,Arrival Traffic Intensity,Arrival Traffic Intensity with go-arounds,Emergency,Previous Flight,ROT Previous Flight [s],Average ROT Previous 5 Flight [s],Average ROT Previous Flight (Intensity) [s],ROT Previous Flight same A/C Type [s],Average ROT Previous 5 Flights same A/C Type [s],Average ROT Previous Flight same A/C Type Total [s],Not Vacated,Short ROT,ROT [s]
0,SWR74A,SWR74A_10187,SWR,E290,4b0291,L2J,Jet,2.0,49050.0,Medium,140.0,1600.0,3141,154.06605,2024-07-01 05:09:06+00:00,,0.9829629131445341,0.6294095225512604,0.9045084971874737,0.7938926261462366,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,0.0,16.0,1.0,,0.0,0.0,False,True,,,10,0.9,13.0,29.0,0,0,False,,,,,,,,False,False,47.0
1,EJU96HY,EJU96HY_6701,EJU,A320,440ca9,L2J,Jet,2.0,66000.0,Medium,149.0,1625.0,3560,234.96,2024-07-01 05:10:53+00:00,,0.9829629131445341,0.6294095225512604,0.9330127018922193,0.75,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,107.0,16.0,1.0,,0.0,0.0,False,True,,,10,0.9,13.0,29.0,1,1,False,SWR74A_10187,47.0,47.0,47.0,,,,False,False,52.0
2,N121SA,N121SA_31081,Unknown,GLEX,a058fa,L2J,Jet,2.0,35652.0,Medium,130.0,1600.0,2784,99.255168,2024-07-01 05:13:58+00:00,,0.9829629131445341,0.6294095225512604,0.9890738003669028,0.6039558454088796,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,185.0,16.0,1.0,,0.0,0.0,False,True,,,10,0.9,13.0,29.0,2,2,False,EJU96HY_6701,52.0,49.5,49.5,,,,False,False,60.0
3,DLH3AR,DLH3AR_2002,DLH,CRJ9,3c4dd0,L2J,Jet,2.0,33339.0,Medium,149.0,1650.0,3634,121.153926,2024-07-01 05:20:11+00:00,,0.9829629131445341,0.6294095225512604,0.9330127018922194,0.2500000000000001,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,373.0,16.0,4.0,280.0,0.007596123493895934,0.586824088833465,False,False,-3.18,2.42,10,0.9,14.0,29.0,3,3,False,N121SA_31081,60.0,53.0,53.0,,,,False,False,53.0
4,UAL3,UAL3_31463,UAL,B763,a8ec57,L2J,Jet,2.0,145149.0,Heavy,145.0,1625.0,3404,494.087196,2024-07-01 05:21:49+00:00,,0.9829629131445341,0.6294095225512604,0.9045084971874737,0.2061073738537635,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,98.0,16.0,4.0,280.0,0.007596123493895934,0.586824088833465,False,False,-3.18,2.42,10,0.9,14.0,29.0,4,4,False,DLH3AR_2002,53.0,53.0,53.0,,,,False,False,56.0
5,SWR17K,SWR17K_19793,SWR,A333,4b1887,L2J,Jet,2.0,187000.0,Heavy,144.0,1625.0,3366,629.442,2024-07-01 05:27:40+00:00,,0.9829629131445341,0.6294095225512604,0.6545084971874737,0.024471741852423234,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,351.0,16.0,4.0,280.0,0.007596123493895934,0.586824088833465,False,False,-3.18,2.42,10,0.9,14.0,29.0,3,3,False,UAL3_31463,56.0,53.6,56.333333333333336,,,,False,False,61.0
6,SWR1951,SWR1951_13998,SWR,A321,4b1691,L2J,Jet,2.0,77800.0,Medium,149.0,1625.0,3560,276.968,2024-07-01 05:29:34+00:00,,0.9829629131445341,0.6294095225512604,0.5522642316338267,0.0027390523158632996,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,114.0,16.0,4.0,280.0,0.007596123493895934,0.586824088833465,False,False,-3.18,2.42,10,0.9,14.0,29.0,3,3,False,SWR17K_19793,61.0,56.4,56.666666666666664,,,,False,False,59.0
7,SWR7GD,SWR7GD_23477,SWR,E190,4b19f2,L2J,Jet,2.0,43000.0,Medium,138.0,1600.0,3067,131.881,2024-07-01 05:31:09+00:00,,0.9829629131445341,0.6294095225512604,0.44773576836617346,0.0027390523158632996,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,95.0,16.0,4.0,280.0,0.007596123493895934,0.586824088833465,False,False,-3.18,2.42,10,0.9,14.0,29.0,4,4,False,SWR1951_13998,59.0,57.8,57.25,,,,False,False,48.0
8,SWR1735,SWR1735_15938,SWR,BCS1,4b17e4,L2J,Jet,2.0,54200.0,Medium,137.0,1600.0,3031,164.2802,2024-07-01 05:32:27+00:00,,0.9829629131445341,0.6294095225512604,0.39604415459112047,0.010926199633097156,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,78.0,16.0,4.0,280.0,0.007596123493895934,0.586824088833465,False,False,-3.18,2.42,10,0.9,14.0,29.0,5,5,False,SWR7GD_23477,48.0,55.4,55.4,,,,False,False,59.0
9,QTR9K,QTR9K_313,QTR,A359,06a0fc,L2J,Jet,2.0,207000.0,Heavy,142.0,1625.0,3290,681.03,2024-07-01 05:34:12+00:00,,0.9829629131445341,0.6294095225512604,0.2966316784620999,0.04322727117869957,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,105.0,16.0,4.0,280.0,0.007596123493895934,0.586824088833465,False,False,-3.18,2.42,10,0.9,14.0,29.0,6,6,False,SWR1735_15938,59.0,56.6,56.0,,,,False,False,57.0
10,THA970,THA970_30804,THA,B77W,885179,L2J,Jet,2.0,251290.0,Heavy,154.0,1625.0,3760,944.8504,2024-07-01 05:36:23+00:00,,0.9829629131445341,0.6294095225512604,0.2061073738537635,0.09549150281252627,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,131.0,16.0,4.0,280.0,0.007596123493895934,0.586824088833465,False,False,-3.18,2.42,10,0.9,14.0,29.0,6,6,False,QTR9K_313,57.0,56.8,56.666666666666664,,,,False,False,69.0
11,SWR511P,SWR511P_29246,SWR,BCS3,502d28,L2J,Jet,2.0,60600.0,Medium,142.0,1625.0,3290,199.374,2024-07-01 05:40:02+00:00,,0.9829629131445341,0.6294095225512604,0.06698729810778076,0.24999999999999978,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,219.0,16.0,4.0,280.0,0.007596123493895934,0.586824088833465,False,False,-3.18,2.42,10,0.9,14.0,29.0,6,6,False,THA970_30804,69.0,58.4,58.833333333333336,,,,False,False,57.0
12,SWR49L,SWR49L_29354,SWR,BCS3,502d45,L2J,Jet,2.0,60600.0,Medium,143.0,1600.0,3253,197.1318,2024-07-01 05:42:13+00:00,,0.9829629131445341,0.6294095225512604,0.024471741852423234,0.3454915028125262,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,131.0,16.0,4.0,280.0,0.007596123493895934,0.586824088833465,False,False,-3.18,2.42,10,0.9,14.0,29.0,7,7,False,SWR511P_29246,57.0,58.0,58.57142857142857,57.0,57.0,57.0,False,False,56.0
13,SWR1339,SWR1339_29822,SWR,BCS3,502d7d,L2J,Jet,2.0,60600.0,Medium,147.0,1600.0,3407,206.4642,2024-07-01 05:43:49+00:00,,0.9829629131445341,0.6294095225512604,0.010926199633097211,0.3960441545911201,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,96.0,16.0,4.0,280.0,0.007596123493895934,0.586824088833465,False,False,-3.18,2.42,10,0.9,14.0,29.0,7,7,False,SWR49L_29354,56.0,59.6,57.857142857142854,56.0,56.5,56.5,False,False,61.0
14,EJU41VC,EJU41VC_6648,EJU,A20N,440c35,L2J,Jet,2.0,67400.0,Medium,140.0,1650.0,3290,221.746,2024-07-01 05:45:42+00:00,,0.9829629131445341,0.6294095225512604,0.0,0.4999999999999999,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,113.0,16.0,4.0,280.0,0.007596123493895934,0.586824088833465,False,False,-3.18,2.42,10,0.9,14.0,29.0,7,7,False,SWR1339_29822,61.0,60.0,58.142857142857146,,,,False,False,53.0
15,ETD39B,ETD39B_31023,Unknown,B78X,89656f,L2J,Jet,2.0,201848.0,Heavy,168.0,1625.0,4357,879.451736,2024-07-01 05:47:12+00:00,,0.9829629131445341,0.6294095225512604,0.010926199633097211,0.6039558454088797,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,90.0,16.0,4.0,280.0,0.007596123493895934,0.586824088833465,False,False,-3.18,2.42,10,0.9,14.0,29.0,7,7,False,EJU41VC_6648,53.0,59.2,58.857142857142854,,,,False,False,52.0
16,EWG764,EWG764_1751,EWG,A320,3c49c8,L2J,Jet,2.0,66000.0,Medium,141.0,1650.0,3327,219.582,2024-07-01 05:53:41+00:00,,0.9829629131445341,0.6294095225512604,0.16543469682057094,0.8715724127386971,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,389.0,16.0,4.0,300.0,0.0669872981077807,0.75,False,False,-3.82,1.18,10,0.9,15.0,29.0,5,5,False,ETD39B_31023,52.0,55.8,55.8,52.0,52.0,52.0,False,False,56.0
17,SWR1WG,SWR1WG_18607,SWR,A20N,4b1812,L2J,Jet,2.0,67400.0,Medium,137.0,1625.0,3106,209.3444,2024-07-01 05:55:05+00:00,,0.9829629131445341,0.6294095225512604,0.25000000000000017,0.9330127018922194,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,84.0,16.0,4.0,300.0,0.0669872981077807,0.75,False,False,-3.82,1.18,10,0.9,15.0,29.0,5,5,False,EWG764_1751,56.0,55.6,55.6,53.0,53.0,53.0,False,False,66.0
18,SWR2QZ,SWR2QZ_14986,SWR,BCS1,4b17df,L2J,Jet,2.0,54200.0,Medium,141.0,1600.0,3178,172.2476,2024-07-01 05:57:15+00:00,,0.9829629131445341,0.6294095225512604,0.34549150281252616,0.9755282581475768,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,130.0,16.0,4.0,300.0,0.0669872981077807,0.75,False,False,-3.82,1.18,10,0.9,15.0,29.0,5,5,False,SWR1WG_18607,66.0,57.6,57.6,59.0,59.0,59.0,False,False,57.0
19,SWR1317,SWR1317_28602,SWR,BCS3,502ce7,L2J,Jet,2.0,60600.0,Medium,142.0,1575.0,3141,190.3446,2024-07-01 05:58:38+00:00,,0.9829629131445341,0.6294095225512604,0.3960441545911205,0.9890738003669028,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,83.0,16.0,4.0,300.0,0.0669872981077807,0.75,False,False,-3.82,1.18,10,0.9,15.0,29.0,6,6,False,SWR2QZ_14986,57.0,56.8,57.5,61.0,58.0,58.0,False,False,61.0
20,AUA5M,AUA5M_6450,AUA,E195,440828,L2J,Jet,2.0,45800.0,Medium,155.0,1625.0,3801,174.0858,2024-07-01 06:03:37+00:00,,1.0,0.5,0.6545084971874737,0.9755282581475768,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,299.0,16.0,4.0,300.0,0.0669872981077807,0.75,False,False,-3.82,1.18,10,0.0,15.0,30.0,4,4,False,SWR1317_28602,61.0,58.4,60.0,,,,False,False,51.0
21,BEL1LX,BEL1LX_6900,BEL,A319,44ce75,L2J,Jet,2.0,61000.0,Medium,139.0,1650.0,3253,198.433,2024-07-01 06:05:57+00:00,,1.0,0.5,0.75,0.9330127018922194,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,140.0,16.0,4.0,300.0,0.0669872981077807,0.75,False,False,-3.82,1.18,10,0.0,15.0,30.0,5,5,False,AUA5M_6450,51.0,58.2,58.2,,,,False,False,49.0
22,EWG8XZ,EWG8XZ_1813,EWG,A320,3c4b4e,L2J,Jet,2.0,66000.0,Medium,149.0,1625.0,3560,234.96,2024-07-01 06:07:13+00:00,,1.0,0.5,0.8345653031794291,0.8715724127386971,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,76.0,16.0,4.0,300.0,0.0669872981077807,0.75,False,False,-3.82,1.18,10,0.0,15.0,30.0,6,6,False,BEL1LX_6900,49.0,56.8,56.666666666666664,56.0,54.0,54.0,False,False,58.0
23,SWR805G,SWR805G_17299,SWR,BCS3,4b1800,L2J,Jet,2.0,60600.0,Medium,146.0,1600.0,3368,204.1008,2024-07-01 06:09:45+00:00,,1.0,0.5,0.9045084971874737,0.7938926261462366,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,152.0,16.0,4.0,300.0,0.0669872981077807,0.75,False,False,-3.82,1.18,10,0.0,15.0,30.0,6,6,False,EWG8XZ_1813,58.0,55.2,57.0,61.0,58.75,58.75,False,False,61.0
24,KMM492,KMM492_27448,KMM,A320,4d231c,L2J,Jet,2.0,66000.0,Medium,141.0,1625.0,3253,214.698,2024-07-01 06:11:35+00:00,,1.0,0.5,0.9567727288213004,0.7033683215379002,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,110.0,16.0,4.0,300.0,0.0669872981077807,0.75,False,False,-3.82,1.18,10,0.0,15.0,30.0,6,6,False,SWR805G_17299,61.0,56.0,56.166666666666664,58.0,55.333333333333336,55.333333333333336,False,False,66.0
25,SWR81C,SWR81C_18538,SWR,BCS3,4b180c,L2J,Jet,2.0,60600.0,Medium,145.0,1600.0,3329,201.7374,2024-07-01 06:15:46+00:00,,1.0,0.5,1.0,0.5000000000000001,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,251.0,16.0,4.0,300.0,0.0669872981077807,0.75,False,False,-3.82,1.18,10,0.0,15.0,30.0,5,5,False,KMM492_27448,66.0,57.0,57.0,61.0,59.2,59.2,False,False,53.0
26,DAL90,DAL90_31110,DAL,B763,a16273,L2J,Jet,2.0,145149.0,Heavy,156.0,1625.0,3842,557.662458,2024-07-01 06:18:28+00:00,,1.0,0.5,0.9755282581475768,0.34549150281252633,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,162.0,16.0,4.0,300.0,0.0669872981077807,0.75,False,False,-3.82,1.18,10,0.0,15.0,30.0,6,6,False,SWR81C_18538,53.0,57.4,56.333333333333336,56.0,56.0,56.0,False,False,51.0
27,ETH736,ETH736_217,ETH,A359,040204,L2J,Jet,2.0,207000.0,Heavy,144.0,1625.0,3366,696.762,2024-07-01 06:22:42+00:00,,1.0,0.5,0.8715724127386972,0.16543469682057105,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,254.0,16.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,16.0,30.0,4,4,False,DAL90_31110,51.0,57.8,57.75,57.0,57.0,57.0,False,False,71.0
28,AEE534,AEE534_7405,AEE,A320,4691c1,L2J,Jet,2.0,66000.0,Medium,142.0,1625.0,3290,217.14,2024-07-01 06:26:24+00:00,,1.0,0.5,0.7033683215379001,0.04322727117869951,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,222.0,16.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,16.0,30.0,4,4,False,ETH736_217,71.0,60.4,60.25,66.0,58.0,58.0,False,False,56.0
29,SWR4YM,SWR4YM_13110,SWR,A320,4b161a,L2J,Jet,2.0,66000.0,Medium,158.0,1625.0,3925,259.05,2024-07-01 06:36:19+00:00,,1.0,0.5,0.2061073738537635,0.09549150281252627,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,595.0,16.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,16.0,30.0,2,2,False,AEE534_7405,56.0,59.4,63.5,56.0,57.6,57.6,False,False,51.0
30,VLG657V,VLG657V_1183,VLG,A321,346692,L2J,Jet,2.0,77800.0,Medium,158.0,1625.0,3925,305.365,2024-07-01 06:38:25+00:00,,1.0,0.5,0.128427587261303,0.16543469682057077,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,126.0,16.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,16.0,30.0,2,2,False,SWR4YM_13110,51.0,56.4,53.5,59.0,59.0,59.0,False,False,48.0
31,DLH7LJ,DLH7LJ_3597,DLH,A320,3c66af,L2J,Jet,2.0,66000.0,Medium,156.0,1625.0,3842,253.572,2024-07-01 06:39:49+00:00,,1.0,0.5,0.09549150281252633,0.20610737385376338,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,84.0,16.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,16.0,30.0,3,3,False,VLG657V_1183,48.0,55.4,51.666666666666664,51.0,57.4,56.5,False,False,53.0
32,NJE521H,NJE521H_8517,NJE,C56X,491222,L2J,Jet,2.0,8482.0,Medium,125.0,1600.0,2615,22.18043,2024-07-01 06:41:32+00:00,,1.0,0.5,0.04322727117869973,0.29663167846209954,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,103.0,16.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,16.0,30.0,3,3,False,DLH7LJ_3597,53.0,55.8,50.666666666666664,,,,False,False,50.0
33,DLH8CY,DLH8CY_2697,DLH,A319,3c644d,L2J,Jet,2.0,61000.0,Medium,139.0,1625.0,3179,193.919,2024-07-01 06:43:27+00:00,,1.0,0.5,0.010926199633097211,0.3960441545911201,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,115.0,16.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,16.0,30.0,4,4,False,NJE521H_8517,50.0,51.6,50.5,49.0,49.0,49.0,False,False,59.0
34,SWR1AW,SWR1AW_14638,SWR,A321,4b169a,L2J,Jet,2.0,77800.0,Medium,159.0,1625.0,3967,308.6326,2024-07-01 06:46:34+00:00,,1.0,0.5,0.0027390523158632996,0.5522642316338265,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,187.0,16.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,16.0,30.0,5,5,False,DLH8CY_2697,59.0,52.2,52.2,48.0,53.5,53.5,False,False,48.0
35,UAL52,UAL52_31346,UAL,B763,a8a110,L2J,Jet,2.0,145149.0,Heavy,166.0,1650.0,4343,630.382107,2024-07-01 06:48:34+00:00,,1.0,0.5,0.02447174185242318,0.6545084971874736,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,120.0,16.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,16.0,30.0,6,6,False,SWR1AW_14638,48.0,51.6,51.5,51.0,53.5,53.5,False,False,65.0
36,KLM1917,KLM1917_8211,KLM,E295,4864ef,L2J,Jet,2.0,54000.0,Medium,149.0,1600.0,3485,188.19,2024-07-01 06:50:54+00:00,,1.0,0.5,0.0669872981077807,0.75,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,140.0,17.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,17.0,30.0,7,7,False,UAL52_31346,65.0,55.0,53.42857142857143,,,,False,False,59.0
37,SWR3PB,SWR3PB_17194,SWR,BCS3,4b17ff,L2J,Jet,2.0,60600.0,Medium,150.0,1625.0,3599,218.0994,2024-07-01 06:53:02+00:00,,1.0,0.5,0.16543469682057094,0.8715724127386971,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,128.0,17.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,17.0,30.0,7,7,False,KLM1917_8211,59.0,56.2,54.57142857142857,53.0,58.4,58.166666666666664,False,False,60.0
38,SWR6YQ,SWR6YQ_10085,SWR,E290,4b0290,L2J,Jet,2.0,49050.0,Medium,144.0,1625.0,3366,165.1023,2024-07-01 06:57:08+00:00,,1.0,0.5,0.34549150281252616,0.9755282581475768,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,246.0,17.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,17.0,30.0,5,5,False,SWR3PB_17194,60.0,58.2,58.2,47.0,47.0,47.0,False,False,57.0
39,SWR1PM,SWR1PM_12689,SWR,A320,4b1618,L2J,Jet,2.0,66000.0,Medium,150.0,1625.0,3599,237.534,2024-07-01 07:03:23+00:00,,0.9829629131445341,0.3705904774487397,0.6545084971874737,0.9755282581475768,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,375.0,17.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,17.0,31.0,4,4,False,SWR6YQ_10085,57.0,57.8,60.25,53.0,56.8,56.0,False,False,63.0
40,EWG64R,EWG64R_2343,EWG,A319,3c5ee8,L2J,Jet,2.0,61000.0,Medium,146.0,1625.0,3443,210.023,2024-07-01 07:05:07+00:00,,0.9829629131445341,0.3705904774487397,0.75,0.9330127018922194,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,104.0,17.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,17.0,31.0,4,4,False,SWR1PM_12689,63.0,60.8,59.75,59.0,54.0,54.0,False,False,58.0
41,SAS4841,SAS4841_9518,SAS,A20N,4ac9fa,L2J,Jet,2.0,67400.0,Medium,154.0,1625.0,3760,253.424,2024-07-01 07:09:55+00:00,,0.9829629131445341,0.3705904774487397,0.9045084971874737,0.7938926261462366,0.5,1.0,0.2500000000000001,0.06698729810778059,Day,288.0,17.0,5.0,300.0,0.0669872981077807,0.75,False,False,-4.78,1.48,10,0.0,17.0,31.0,3,3,False,EWG64R_2343,58.0,59.4,59.333333333333336,66.0,59.5,59.5,False,False,50.0
42,DAL90,DAL90_31096,DAL,B763,a11d47,L2J,Jet,2.0,145149.0,Heavy,156.0,1625.0,3842,557.662458,2024-07-02 05:08:47+00:00,,0.9829629131445341,0.6294095225512604,0.871572412738697,0.8345653031794291,0.890915741234015,0.8117449009293668,0.2500000000000001,0.06698729810778059,Day,79132.0,15.0,4.0,350.0,0.4131759111665348,0.9924038765061041,False,False,-3.36,-2.16,10,0.0,61.0,53.0,0,0,False,SAS4841_9518,50.0,57.6,56.595238095238095,65.0,57.333333333333336,57.333333333333336,False,False,75.0
43,UAL3,UAL3_31474,UAL,B763,a8f00e,L2J,Jet,2.0,145149.0,Heavy,151.0,1625.0,3639,528.197211,2024-07-02 05:12:09+00:00,,0.9829629131445341,0.6294095225512604,0.9755282581475768,0.6545084971874737,0.890915741234015,0.8117449009293668,0.2500000000000001,0.06698729810778059,Day,202.0,15.0,4.0,350.0,0.4131759111665348,0.9924038765061041,False,False,-3.36,-2.16,10,0.0,61.0,53.0,1,1,False,DAL90_31096,75.0,60.6,75.0,75.0,61.75,61.75,False,False,66.0
44,GSW1PR,GSW1PR_22202,GSW,A319,4b1939,L2J,Jet,2.0,61000.0,Medium,139.0,1625.0,3179,193.919,2024-07-02 05:14:28+00:00,,0.9829629131445341,0.6294095225512604,0.9972609476841366,0.5522642316338268,0.890915741234015,0.8117449009293668,0.2500000000000001,0.06698729810778059,Day,139.0,15.0,4.0,350.0,0.4131759111665348,0.9924038765061041,False,False,-3.36,-2.16,10,0.0,61.0,53.0,2,2,False,UAL3_31474,66.0,62.4,70.5,58.0,55.333333333333336,55.333333333333336,False,False,56.0
45,UAL52,UAL52_31370,UAL,B763,a8b5fc,L2J,Jet,2.0,145149.0,Heavy,156.0,1650.0,3917,568.548633,2024-07-02 05:15:54+00:00,,0.9829629131445341,0.6294095225512604,1.0,0.5000000000000001,0.890915741234015,0.8117449009293668,0.2500000000000001,0.06698729810778059,Day,86.0,15.0,4.0,350.0,0.4131759111665348,0.9924038765061041,False,False,-3.36,-2.16,10,0.0,61.0,53.0,3,3,False,GSW1PR_22202,56.0,61.0,65.66666666666667,66.0,62.6,62.6,False,False,54.0
46,EWG764,EWG764_9294,EWG,B738,49d1c6,L2J,Jet,2.0,66349.0,Medium,149.0,1650.0,3634,241.112266,2024-07-02 05:18:06+00:00,,0.9829629131445341,0.6294095225512604,0.9755282581475768,0.34549150281252633,0.890915741234015,0.8117449009293668,0.2500000000000001,0.06698729810778059,Day,132.0,15.0,4.0,350.0,0.4131759111665348,0.9924038765061041,False,False,-3.36,-2.16,10,0.0,61.0,53.0,4,4,False,UAL52_31370,54.0,60.2,62.75,,,,False,False,61.0
47,SWR7GD,SWR7GD_23637,SWR,E190,4b19f3,L2J,Jet,2.0,43000.0,Medium,141.0,1600.0,3178,136.654,2024-07-02 05:19:25+00:00,,0.9829629131445341,0.6294095225512604,0.9567727288213005,0.2966316784620999,0.890915741234015,0.8117449009293668,0.2500000000000001,0.06698729810778059,Day,79.0,15.0,4.0,350.0,0.4131759111665348,0.9924038765061041,False,False,-3.36,-2.16,10,0.0,61.0,53.0,5,5,False,EWG764_9294,61.0,62.4,62.4,48.0,48.0,48.0,False,False,49.0
48,SWR565,SWR565_10176,SWR,E290,4b0291,L2J,Jet,2.0,49050.0,Medium,139.0,1625.0,3179,155.92995,2024-07-02 05:20:52+00:00,,0.9829629131445341,0.6294095225512604,0.9330127018922194,0.2500000000000001,0.890915741234015,0.8117449009293668,0.2500000000000001,0.06698729810778059,Day,87.0,15.0,4.0,340.0,0.32898992833716567,0.9698463103929542,False,False,-3.69,-1.55,10,0.0,62.0,53.0,6,6,False,SWR7GD_23637,49.0,57.2,60.166666666666664,57.0,52.0,52.0,False,False,50.0
49,HRN709,HRN709_3929,Unknown,E145,3c75a5,L2J,Jet,2.0,18700.0,Medium,132.0,1600.0,2853,53.3511,2024-07-02 05:22:21+00:00,,0.9829629131445341,0.6294095225512604,0.8715724127386972,0.16543469682057105,0.890915741234015,0.8117449009293668,0.2500000000000001,0.06698729810778059,Day,89.0,15.0,4.0,340.0,0.32898992833716567,0.9698463103929542,False,False,-3.69,-1.55,10,0.0,62.0,53.0,7,7,False,SWR565_10176,50.0,54.0,58.714285714285715,,,,False,False,53.0
50,DLH3AR,DLH3AR_3381,DLH,A320,3c6635,L2J,Jet,2.0,66000.0,Medium,150.0,1625.0,3599,237.534,2024-07-02 05:23:41+00:00,,0.9829629131445341,0.6294095225512604,0.8345653031794291,0.12842758726130293,0.890915741234015,0.8117449009293668,0.2500000000000001,0.06698729810778059,Day,80.0,15.0,4.0,340.0,0.32898992833716567,0.9698463103929542,False,False,-3.69,-1.55,10,0.0,62.0,53.0,8,8,False,HRN709_3929,53.0,53.4,58.0,63.0,57.8,56.875,False,False,52.0
51,GAC444D,GAC444D_6311,GAC,C510,440806,L2J,Jet,2.0,3629.0,Light,106.0,1600.0,2034,7.381386,2024-07-02 05:26:22+00:00,,0.9829629131445341,0.6294095225512604,0.7033683215379001,0.04322727117869951,0.890915741234015,0.8117449009293668,0.2500000000000001,0.06698729810778059,Day,161.0,15.0,4.0,340.0,0.32898992833716567,0.9698463103929542,False,False,-3.69,-1.55,10,0.0,62.0,53.0,8,8,False,DLH3AR_3381,52.0,53.0,55.125,,,,False,False,55.0
52,SWR1951,SWR1951_12499,SWR,A320,4b1617,L2J,Jet,2.0,66000.0,Medium,142.0,1625.0,3290,217.14,2024-07-02 05:31:05+00:00,,0.9829629131445341,0.6294095225512604,0.44773576836617346,0.0027390523158632996,0.890915741234015,0.8117449009293668,0.2500000000000001,0.06698729810778059,Day,283.0,15.0,4.0,340.0,0.32898992833716567,0.9698463103929542,False,False,-3.69,-1.55,10,0.0,62.0,53.0,6,6,False,GAC444D_6311,55.0,51.8,53.333333333333336,52.0,55.0,56.333333333333336,False,False,63.0
